text,label
esconder novas secreções das unidades parentais,0
"não contém inteligência, apenas piadas trabalhistas",0
que ama seus personagens e comunica algo bastante bonito sobre a natureza humana,1
permanece totalmente satisfeito em permanecer o mesmo ao longo,0
nos piores clichês de vingança dos nerds que os cineastas poderiam desenterrar,0
isso é trágico demais para merecer um tratamento tão superficial,0
Demonstra que o diretor de sucessos de bilheteria de Hollywood como Patriot Games ainda pode produzir um filme pequeno e pessoal com uma hallop emocional.,1
de saucy,1
a poesia suicida de um jovem de quinze anos deprimido,0
"são mais profundamente pensados do que na maioria dos filmes de ""pensamento certo""",1
vai a comprimentos absurdos,0
Para os espectadores que reclamam que 'eles não fazem filmes como costumavam fazer,0
"a parte onde nada está acontecendo,",0
vi o quão ruim este filme foi,0
emprestar alguma dignidade a uma história idiota,0
os maiores músicos,1
filme frio,0
com sua inteligência e sutileza habituais,1
conceito redundante,0
"A natação está acima de tudo sobre o rosto de uma jovem e, ao escalar uma atriz cujo rosto projeta as dúvidas e os anseios que a mulher é bem -sucedida.",1
"iguala o original e, de certa forma, até o melhora",1
"se alguma coisa, vê-lo para karen black, que acampa uma tempestade como um teórico da conspiração feminista marginal chamado pau sujo.",1
Um sorriso no seu rosto,1
vem das performances corajosas e desinibidas,1
terrivelmente sem graça e lamentavelmente sem romantismo,0
enriquecido por um elenco imaginativamente misturado de espíritos exóticos,1
qual metade da libélula é pior: a parte em que nada está acontecendo ou a parte em que algo está acontecendo,0
no cinema mundial,1
alternativa muito boa de visualização,1
"O enredo não passa de clichês de caldeira do início ao fim,",0
A ação está empolgada,0
em todos os cilindros,1
"encontrará pouco interesse neste filme, que geralmente é pregador e mal agido",0
de longe o pior filme do ano,0
"sente-se,",0
"Mais do que outro clone "" Best Man "", tecendo um tema ao longo deste filme engraçado",1
é sobre problemas que a maioria dos adultos tem que enfrentar no casamento e acho que é disso que eu gosto - os problemas reais escondidos entre o enredo tolo e bruto,1
Heróis,1
alheio a existência desse filme,0
bruscamente,1
"o ponto principal de uma história de cão peludo, é claro, é que não leva a lugar nenhum, e isso é clássico em nenhum lugar em todos os sentidos.",0
às vezes seco,0
"conforme eles vêm , já tendo sido reciclados mais vezes do que eu gostaria de contar",0
"cobre este território com inteligência e originalidade, sugerindo que com seu quarto recurso",1
Uma versão de US $ 40 milhões de um jogo,0
lindo e enganosamente minimalista,1
espadas cruzadas com as melhores e,1
como teórica da conspiração feminista,0
"prova mais uma vez que não perdeu o jeito, apresentando uma atuação soberba em um filme reconhecidamente mediano.",1
decepções,0
os horrores,0
Uma confusão espirrou com beleza sangrenta tão vívida quanto qualquer Scorsese já nos deu.,1
muitos inúteis,0
uma lindamente,1
situações inventadas e desgastadas,0
um doa,0
o pobre ben bratt não conseguiria encontrar o estrelato se o mapquest lhe enviasse por e-mail instruções de direção ponto a ponto.,0
ser tão sutil e tocante quanto o quarto do filho,1
começa com uma lenda,1
muito menos sofisticado e,0
veias ricas de coisas engraçadas neste filme,1
Sem alegria aparente,0
filmado em vídeo digital feio,0
"... um pequeno filme azedo em sua essência;Uma exploração do vazio subjacente à alegria implacável da década de 1920... o final do filme tem um "" para que serve tudo?"" '",0
"Embora Ford e Neeson tenham o seu interesse, mas não é um filme emocionante",0
é muito engraçado.,1
Nunca sentimos nada por esses personagens,0
é um péssimo nisso,0
o circo corporativo que é a indústria fonográfica no clima atual de fusões e downsizing,0
"as histórias são entrelaçadas habilmente, as magníficas tomadas aéreas são de tirar o fôlego e a experiência geral é incrível.",1
das decepções mais elogiadas i,0
"Parece uma decepção cruel realizada por homens de inteligência marginal, com idéias reacionárias sobre mulheres e uma total falta de empatia.",0
parece fresco,1
para o lixo da história,0
"Como diretor, Eastwood está fora de seu jogo",0
Presta a homenagem sincera aos Turntablists,1
fraco e,0
"pule esta droga,",0
contém muito poucas risadas e menos surpresas,0
Filme para afirmar o poder de Love para ajudar as pessoas a suportar horror quase inimaginável,1
são uma alegria absoluta,1
gera,1
", como a vida , não é muito divertido sem os altos e baixos",1
baseado em uma história verdadeira e historicamente significativa,1
tributo completo,1
", embora muitos dos atores joguem uma ou duas faíscas quando aparecem pela primeira vez, não podem gerar calor suficiente neste vácuo frio de uma comédia para iniciar uma reação.",0
muito parecido com um jovem Robert Deniro,1
"Khouri gerencia, com um talento fantástico, para manter os extremos da farsa e da intensidade familiar que giram no sangue em um continuum.",1
criando um entretenimento cativante,1
recurso de animação espirituoso,1
isso é tão desleixado e escrito que você não pode acreditar em alguém mais central para a criação de bugsy do que o fornecedor,0
"alternando entre paródia cômica jocosa e melodrama pulp, este filme espertinho lança algumas questões intrigantes sobre a diferença entre a vida humana e a vida andróide.",1
Momentos de tumulto,0
", obras de arte generosas e subversivas",1
"Ele não segue o enredo obsoleto, padrão e de conexão, que se tornou comum nos filmes que exploram o ventre marmoso do mundo criminoso",1
Engraçado ainda,1
arrogante e exagerado,0
É Robert Duvall!,1
Sabedoria rica e repentina,1
"atuou e dirigiu , é claro que Washington certamente tem uma nova carreira pela frente.",1
em memória,1
novo respeitável,1
"No entanto, esta vitrine de grade",0
Odeio rasgar seus olhos das imagens por tempo suficiente para ler as legendas,1
além de ostentar um dos piores títulos da história cinematográfica recente,0
", essa comédia que dobra de gênero geralmente é muito engraçada.",1
"construa alguns robôs , leve - os para o teatro com você para o último show , e coloque seu próprio teatro de ciência misteriosa 3000 tributo ao que quase certamente será considerado o pior - e único - filme matador deste site ou qualquer outro ano",0
Não trabalhe em concerto,0
"A direção tem uma autoridade fluida e sem sentido, e as performances de Harris, Phifer e Cam `Ron sela o acordo.",1
teria gostado mais se tivesse acabado de dar um passo adiante,1
"É muito duro para trabalhar como uma peça de narrativa,",0
camisa havaiana,1
"Tome uma história clássica, lança atores atraentes e talentosos e usa uma paisagem magnífica para criar um longa -metragem que é perversamente divertido de assistir.",1
Forneça seus prazeres mais aguçados,1
totalmente muito leve para ser chamado de qualquer tipo de obra -prima,0
"Grievous, mas",0
"Depois de rir uma vez (talvez duas vezes), você terá esquecido completamente o filme quando voltar ao seu carro no estacionamento.",0
sem esperança,0
"despretensioso, charmoso, peculiar, original",1
Nicks e Steinberg combinam suas próprias criações para a pura venalidade - que está dando a antiga faculdade.,0
muito bem escrito e muito bem atuado.,1
Não são muitas respostas conclusivas no filme,0
"diálogo desajeitado, sentimento de sensação falsa de mão pesada,",0
"prova uma ninharia adorável que, infelizmente, é um pouco apaixonada demais por sua própria fofura.",0
traga tecidos.,1
O orçamento de meados a baixo do filme é traído pela maquiagem surpreendentemente de má qualidade.,0
traz a convicção adequada ao seu papel como ( jason bourne ).,1
"como uma jovem de grande encanto, generosidade e diplomacia",1
"Existe algo comovente em um artista de mais de 90 anos se esforçando para compartilhar suas impressões de vida e perda, tempo e arte conosco.",1
Bobo demais,0
bon bons cinematográficos,1
é extremamente sem graça e desinteressante assistir à meia-idade e,0
Um exame animado e envolvente de como obsessões semelhantes podem dominar uma família.,1
irrita e,0
colapso,0
Muitos dos desafios que ele representa para si que se pode perdoar ao filme suas falhas,1
", Serve como uma cartilha viável para a história recente da região e seria uma fantástica ferramenta de aprendizado da 10ª série.",1
amplo o tempo todo,1
"(em vão, eu acho)",0
é uma grande desculpa para interpretar uma cena lasciva após a outra.,0
é eficaz se você ficar com isso,1
Isso ressalta a importância da tradição familiar e da comunidade familiar,1
"entrega o que promete: uma olhada no "" passeio selvagem "" que se segue quando jovens impetuosos decidem conquistar o mundo online com laptops, telefones celulares e planos de negócios esboçados",1
"Assistindo a esta comédia familiar e muito boa e muito boa, a suposta comédia familiar",0
absolutamente e completamente ridículo e,0
é um filme de rock and roll muito de bom gosto.,1
"O filme está quase completamente carente de suspense, surpresa e convicção emocional consistente.",0
retrato realista,1
"Como se estivesse tentando pegar um pedaço de play-doh, mais difícil, Liman tenta espremer sua história",0
Acrobacias bem pensadas ou,1
revela como nossos talentos especiais podem ser importantes quando colocados a serviço dos outros.,1
não gosto da,0
um alívio bem -vindo,1
a promessa do cinema digital,1
apenas um que poderia facilmente esperar pelo seu pagamento por dólar,0
justifique uma simulação teatral do campo de morte de Auschwitz II-Birkenau,0
fé extraordinária,1
Eu vi um filme tão disposto a defender a falibilidade do coração humano,1
", às vezes bela adaptação",1
