text,label
"Uma TV Completa Dentro de um Padrão Básico. Para Quem Quer uma TV Grande e Que Não Tenha Muitas Funções.
Seu Pior Ponto Negativo é o Som, pois Pelo Preço, deveria ser de Ótima Qualidade, com ele você não escuta corretamente os Graves e Agudos, Pois sua potência é Péssima, chegando a parecer que o Problema é da própria TV.",-1
Gente nao comprar vcs vao ter muita dor de cabeça…,-1
"Péssimo, não vale apena.",-1
É  BOM  PRODUTO E  GOSTARIA DE MELHORIA EM UMA BATERIA DE   LONGA DURAÇÃO,1
Bom produto .,1
"A LG está muito bem no mercado, essa tv é de excelente qualidade, tem várias funções de fácil manuseio. O som também é muito bom, os vendedores das lojas disseram que essa era a melhor da categoria se tratando de imagem, isso posso confirmar a voces. Mas como nem tudo é como a gente quer, aqui vai uma avaliação negativa, que considero ser muito importante para uma televisão, o controle remoto deixou muito a desejar, achei que fosse um problema apenas do meu controle, pois vc precisa apertar com força os botões, acabei de ler um relato de um modelo anterior com o mesmo problema(modelo LG Flatron RP-29FA35A 29"" ). A LG errou em não ter corrigido esse problema.",1
"Gostei do design dele, mas a duração da bateria é muito pouca.",-1
"A MULTILASER DEVERÁ TOMAR UMA PROVIDÊNCIA IMEDIATA, TIPO RECALL NESSES APARELHOS TABLET PC LIFE. AO QUE TUDO INDICA E PELA QUANTIDADE DE RECLAMAÇÕES O DEFEITO É DE FABRICAÇÃO.  NÃO SE CONSEGUE USAR O APARELHO NORMALMENTE. NÃO DURA MAIS DO QUE ALGUNS MINUTOS E LOGO TRAVA, SEM RECURSOS PARA O DESTRAVAMENTE, SÓ DEPOIS QUE A BATERIA DESCARREGAR.",-1
"Para as minhas necessidades, ficou muito bem. Boa para jogar, imagem linda, me irrita um pouco não poder aumentar as cores sem o barulho chato e o som ser abafado, mas no geral tem um excelente custo beneficio.",1
"Bonito design, nitidez das imagens, som explêndido. Super controle remoto.",1
"Se arrependimento matasse, eu estava morta! Lindo e com uma configuração muito boa para uso doméstico, tive problemas com ele já nos primeiros meses. Vencida a garantia de 1 ano, passadas umas semanas, o computador simplesmente pifou. Já tem pelo menos 1 semestre que ele virou enfeite de mesa, porque ele não funciona e a autorizada que eu levei da outra vez, fechou.",-1
sinto muito mais eu não compraria outra vezaessa lcd pela imagem,-1
"1000, pois perde no design para o conocrrente iMac",-1
"Me parece uma maquina interessante, só o preço que ainda está salgado, vou aguardar um pouco para comprar",1
Televisão com imagem e som de ótima qualidade! Tela plana e 21 polegadas. Som estéreo e opções SAP. Muito facil instalação e uso. Controle remoto simples e garantia que só a Toshiba tem..,1
"em poucas palavras, o botão de sintonizar, preciza ser mais macil.",-1
"Comprei e estou esperando chegar. Gosto muito dos produtos Samsung, pois são muito confiáveis, bonitos e com tecnologia de ponta. Há muito pensava em adquirir uma câmera nova, mas ainda não havia encontrado uma que atendesse ao requisito de conectividade, com internet, TV e smartphone (possuo um Galaxy SII), então, pesquisando no Buscapé encontrei essa opção com preço muito interessante pelo que proporciona.",1
Excelente desmepenho. Custo / benefício. Adquiri e não tive problema algum.,1
"comprei uma tv60lg modelo ls5700 em menos de 20 dias apresentou problemas, não aparece imagem somente som um produto tão caro e de alta tecnologia e com qualidade duvidosa, menos mal que a fabrica se prontificou e efetuou a troca do aparelho mesmo fora do prazo de 7 dias uteis, porque se dependesse da loja ""WALMART""  ainda estaria com a mesma tv só teria enviado a assistência técnica, não recomendo este modelo.",-1
"Não compraria de novo. Apesar de bonito, tive problemas com ele. Estou tentando falar no site da Sony Ericsson e não tem um sistema de ""Fale Conosco"" pois estou com receio de que tenha outros problemas. Ter que reiniciar o telefone e ficar com a sensação de que a bateria vai acabar a qualquer momento é muito chato. Indico Nokia, nunca tive problemas com esta marca.",-1
"Custo Beneficio razoável, tablets com mais recursos na mesma faixa de preço",-1
"Quando fui comprar esta TV, que seria destinada ao computador e o video game, somente procurava por um modelo full HD sem conversor, pois não era destinada a assistir programas de TV; Mas pelo preço, optei por leva-la.
Quando á liguei, fiquei surpreendido, que imagem em HD, melhor do que a que outra que  tenho em casa, que é de uma marca bem mais conhecida e cara.
Uma ótima quantidade de entradas, sendo que só HDMI, são quatro, evita muito o tira e põe de cabos, o tempo todo.
No video game surpreende pela qualidade dos gráficos, que ficaram muito lindos em 1080i, neste aparelho de TV.
Não esquenta nada, e tem um maravilhoso, contraste, que pode ser alterado por uma função que o expande ainda mais!
Bom se alguem precisa de um aparelho de TV, muito bom e barato, este é recomendado por mim com avaliação muito boa!",1
"Bom Preço, Bom Processador, Ótima memoria de HD e memoria RAM",1
É UM OTIMO APARELHO PARA QUEM QUER CUSTO BENEFICIO,1
"Tenho minhas dúvidas quanto a marca do aparelho, o som por exemplo
é muito baixo.",-1
"""Quando decidi que era este o produto, eu já estava satisfeita com as suas funcionalidades e passei a comparar preço nas lojas. Quando recebi em casa, o produto me encantou ainda mais. É mais compacto do que eu imaginava, seus botões e imagens são realmente intuitivos e o manual é tão completo que é preciso conter a vontade de partir logo para a utilização.""",1
"Produto bem acima do básico, com boa memória e conectividade. Valeu pelo custo-benefício.",1
"otimo brinquedo, devido ao custo beneficio,é o que tem de melhor no mercado",1
"O tablet sansung P5110 é muito bom, un designe lindo, super fino, bem leve.
a resposta é muito boa, as paginas correm muito bem , sem travar
o preço ainda esta um pouco salgado , mas vale a pena.
Na minha opinião é o melhor tablet depois da Apple",1
Recomendo a quem quer um produto simples e eficiente,1
Produto muito bom !,1
muito boa qualidade e preço e muitas funçoes; Lcd; Durabilidade; caracteristicas,1
