text,label
APARELHO MUITO BONITO.,1
Ótimo superou minha expectativas.,1
"Quando no wi fi a navegação é bem rápida, no 4G nem tanto.",1
baixo custo-benefício (como os demais high-ends),-1
"Encontrei.Além disso, o leitor de impressões digitais facilita muito o uso e passa tranquilidade pela segurança.",1
Ótimo custo-benifício.,1
O preço estava bom.,1
A camera é sensacional!,1
Top de linha de verdade.,1
Curti dmais.,1
Eu já possuia o S7 Edge e resolvi comprar o S7 como alternativa porque gostei da experiência.,1
O material parece de qualidade,1
deixa a desejar no designer.,-1
Gosto muito da marca Samsung e por isso adquiri este modelo.,1
Acompanha bateria,1
a bateria não está durando muito.,-1
Inigualável.,1
Comprei o aparelho e depois de três meses ele já apresentou problemas.,-1
apenas achei que a bateria fosse durar um pouco mais,-1
Não falta nada no celular,1
Tem ótima resposta (tempo),1
Estou muito satisfeito com o celular.,1
Ótimo Aparelho,1
Potente.,1
Fácil manuseio,1
Rápido ótima velocidade de processamento.,1
"Bom produto, funciona bem.",1
A câmera atende ao que se propõe. Muito boa.,1
Celular com uma bateria super durável.,1
ótimo design,1
"Até o momento, o ISO 1200 foi o máximo que senti necessidade de usar, então, na prática, esse fator não me incomoda.",1
bateria dura pouco.,-1
boa tela.,1
Celular de acordo com todas as espectativas.,1
"A câmera tem menos estabilidade, sinto de alguns app&squote&s exclusivos da série Galaxy.",-1
"Estou usando o aparelho a 2 semanas, e ate agora tem sido perfeito.",1
Há dificuldade para religa-lo.,-1
Excelentes câmeras.,1
bom hardware.,1
Produto de um ALTO custo beneficio.,1
"Comprei o produto, através de uma propaganda enganosa da empresa a respeito da durabilidade da bateria.",-1
Qualidade da imagem.,1
"Foi o pior aparelho que já comprei, não recomendo para ninguem.",-1
"O Celular é alérgico a agua, já vi celulares sem proteção resistir melhor.",-1
"Um ponto negativo é a lente do kit, porem essa pode ser ótima opção para começo e assim q perceber sua necessidade saberá qual tipo de lente é melhor para cada usuário.",-1
Aparelho rápido.,1
"Alguns comentam que o Moto g retrocedeu, tenho que discordar.",1
Celular de qualidade.,1
Ótima surpresa!,1
Excelente Aparelho! Recomendo!,1
"Tudo bem, mas uma das maiores vantagens do aparelho que é vir com o Android sem muitas modificações, acaba se tornando uma fraqueza, pq ele não tem a função compartilhar via Wi-Fi direct nativa, é preciso baixar apps que façam isso, e até agora não achei um com sem anúncios.",-1
Recomendo a sua compra para quem esta comecando a fotografia profissional e laser.,1
Melhor aparelho que ja usei.,1
Boa relação custo-benefício.,1
Um smartphone com excelentes características.,1
bateria excelente!,1
Excelente zoom.,1
a bateria chega a durar 48 horas.,1
"O único ponto negativo por enquanto é que o android stock NÃO PERMITE USAR MIRACAST (na TV smart), mesmo o telefone tendo essa opção.",-1
bateria poderia ser melhor.,-1
"O NFC não é compatível com os cartões Mirafire, ou seja não é compatível com o aplicativo da SPTrans e tantas outras aplicações que utilizam este cartão.",-1
Muito BOM!,1
Um dos melhores aparelhos pelo preço,1
bateria ruim.,-1
Correspondente com todas as características citadas,1
Ate agora me surpreendeu..,1
o corpo é resistente,1
A câmera é espetacular!,1
"É super portátil, levo para todos os lugares comigo, viagens longas ou no parque da cidade que fica bem em frente a minha casa.",1
Estou com o smartphone há mais ou menos 1 mês e só tenho elogios.,1
"Produto muito bom, ótima qualidade",1
Celular muito rápido.,1
"Ótimo smartphone, reúne os melhores atributos de um aparelho premium.",1
O produto no geral é bom.,1
Smartphone com custo-benefício muito bom.,1
Gostei muito do produto!,1
Ainda não recebi a distribuidora não apareceu com celular ainda.,-1
Gostei do celular em todos aspectos,1
"algumas vezes o aparelho esquenta muito, mesmo estando com o Display apagado.",-1
Imagem com resolução muito boa.,1
bonito.,1
Aparelho bonito.,1
Parabéns Shopfacil.com.,1
"O sistema é estável, rápido e sem firulas.",1
"Não tive nenhum a queixa da entrega, obrigada Kabum pela entrega no prazo.",1
"Agora eu comprei o Moto G5 Plus, e não fica a dever a 99% dos aparelhos do mercado.",1
Mais um Smartphone padrão MOTO!,1
e ela é super fácil de mexer.Recomendo para todos.,1
chegou bem rápido.,1
Celular perfeito.,1
A câmera com zoom perde bastante qualidade.,-1
Gostei e recomendo!,1
tem bom preço.,1
Gostei do assistente de configuração que importou totalmente os aplicativos existentes no celular Moto E antigo.,1
"O meu Smartphone só tem um mês, então minha avaliação ainda é superficial, por enquanto me surpreendeu eu tinha o Smartphone Motorola G4 Plus que eu gostava muito também, mas fui assaltada, e na hora de comprar um novo optei em comprar a nova versão e me surpreendi, estou gostando muito",1
