text,label
esconder novas secreções das unidades parentais,-1
"não contém inteligência, apenas piadas trabalhistas",-1
que ama seus personagens e comunica algo bastante bonito sobre a natureza humana,1
permanece totalmente satisfeito em permanecer o mesmo ao longo,-1
nos piores clichês de vingança dos nerds que os cineastas poderiam desenterrar,-1
isso é trágico demais para merecer um tratamento tão superficial,-1
Demonstra que o diretor de sucessos de bilheteria de Hollywood como Patriot Games ainda pode produzir um filme pequeno e pessoal com uma hallop emocional.,1
de saucy,1
a poesia suicida de um jovem de quinze anos deprimido,-1
"são mais profundamente pensados do que na maioria dos filmes de ""pensamento certo""",1
vai a comprimentos absurdos,-1
Para os espectadores que reclamam que 'eles não fazem filmes como costumavam fazer,-1
"a parte onde nada está acontecendo,",-1
vi o quão ruim este filme foi,-1
emprestar alguma dignidade a uma história idiota,-1
os maiores músicos,1
filme frio,-1
com sua inteligência e sutileza habituais,1
conceito redundante,-1
"A natação está acima de tudo sobre o rosto de uma jovem e, ao escalar uma atriz cujo rosto projeta as dúvidas e os anseios que a mulher é bem -sucedida.",1
"iguala o original e, de certa forma, até o melhora",1
"se alguma coisa, vê-lo para karen black, que acampa uma tempestade como um teórico da conspiração feminista marginal chamado pau sujo.",1
Um sorriso no seu rosto,1
vem das performances corajosas e desinibidas,1
terrivelmente sem graça e lamentavelmente sem romantismo,-1
enriquecido por um elenco imaginativamente misturado de espíritos exóticos,1
qual metade da libélula é pior: a parte em que nada está acontecendo ou a parte em que algo está acontecendo,-1
no cinema mundial,1
alternativa muito boa de visualização,1
"O enredo não passa de clichês de caldeira do início ao fim,",-1
A ação está empolgada,-1
em todos os cilindros,1
"encontrará pouco interesse neste filme, que geralmente é pregador e mal agido",-1
de longe o pior filme do ano,-1
"sente-se,",-1
"Mais do que outro clone "" Best Man "", tecendo um tema ao longo deste filme engraçado",1
é sobre problemas que a maioria dos adultos tem que enfrentar no casamento e acho que é disso que eu gosto - os problemas reais escondidos entre o enredo tolo e bruto,1
Heróis,1
alheio a existência desse filme,-1
bruscamente,1
"o ponto principal de uma história de cão peludo, é claro, é que não leva a lugar nenhum, e isso é clássico em nenhum lugar em todos os sentidos.",-1
às vezes seco,-1
"conforme eles vêm , já tendo sido reciclados mais vezes do que eu gostaria de contar",-1
"cobre este território com inteligência e originalidade, sugerindo que com seu quarto recurso",1
Uma versão de US $ 40 milhões de um jogo,-1
lindo e enganosamente minimalista,1
espadas cruzadas com as melhores e,1
como teórica da conspiração feminista,-1
"prova mais uma vez que não perdeu o jeito, apresentando uma atuação soberba em um filme reconhecidamente mediano.",1
decepções,-1
os horrores,-1
Uma confusão espirrou com beleza sangrenta tão vívida quanto qualquer Scorsese já nos deu.,1
muitos inúteis,-1
uma lindamente,1
situações inventadas e desgastadas,-1
um doa,-1
o pobre ben bratt não conseguiria encontrar o estrelato se o mapquest lhe enviasse por e-mail instruções de direção ponto a ponto.,-1
ser tão sutil e tocante quanto o quarto do filho,1
começa com uma lenda,1
muito menos sofisticado e,-1
veias ricas de coisas engraçadas neste filme,1
Sem alegria aparente,-1
filmado em vídeo digital feio,-1
"... um pequeno filme azedo em sua essência;Uma exploração do vazio subjacente à alegria implacável da década de 1920... o final do filme tem um "" para que serve tudo?"" '",-1
"Embora Ford e Neeson tenham o seu interesse, mas não é um filme emocionante",-1
é muito engraçado.,1
Nunca sentimos nada por esses personagens,-1
é um péssimo nisso,-1
o circo corporativo que é a indústria fonográfica no clima atual de fusões e downsizing,-1
"as histórias são entrelaçadas habilmente, as magníficas tomadas aéreas são de tirar o fôlego e a experiência geral é incrível.",1
das decepções mais elogiadas i,-1
"Parece uma decepção cruel realizada por homens de inteligência marginal, com idéias reacionárias sobre mulheres e uma total falta de empatia.",-1
parece fresco,1
para o lixo da história,-1
"Como diretor, Eastwood está fora de seu jogo",-1
Presta a homenagem sincera aos Turntablists,1
fraco e,-1
"pule esta droga,",-1
contém muito poucas risadas e menos surpresas,-1
Filme para afirmar o poder de Love para ajudar as pessoas a suportar horror quase inimaginável,1
são uma alegria absoluta,1
gera,1
", como a vida , não é muito divertido sem os altos e baixos",1
baseado em uma história verdadeira e historicamente significativa,1
tributo completo,1
", embora muitos dos atores joguem uma ou duas faíscas quando aparecem pela primeira vez, não podem gerar calor suficiente neste vácuo frio de uma comédia para iniciar uma reação.",-1
muito parecido com um jovem Robert Deniro,1
"Khouri gerencia, com um talento fantástico, para manter os extremos da farsa e da intensidade familiar que giram no sangue em um continuum.",1
criando um entretenimento cativante,1
recurso de animação espirituoso,1
isso é tão desleixado e escrito que você não pode acreditar em alguém mais central para a criação de bugsy do que o fornecedor,-1
"alternando entre paródia cômica jocosa e melodrama pulp, este filme espertinho lança algumas questões intrigantes sobre a diferença entre a vida humana e a vida andróide.",1
Momentos de tumulto,-1
", obras de arte generosas e subversivas",1
"Ele não segue o enredo obsoleto, padrão e de conexão, que se tornou comum nos filmes que exploram o ventre marmoso do mundo criminoso",1
Engraçado ainda,1
arrogante e exagerado,-1
É Robert Duvall!,1
Sabedoria rica e repentina,1
"atuou e dirigiu , é claro que Washington certamente tem uma nova carreira pela frente.",1
em memória,1
novo respeitável,1
"No entanto, esta vitrine de grade",-1
Odeio rasgar seus olhos das imagens por tempo suficiente para ler as legendas,1
além de ostentar um dos piores títulos da história cinematográfica recente,-1
", essa comédia que dobra de gênero geralmente é muito engraçada.",1
"construa alguns robôs , leve - os para o teatro com você para o último show , e coloque seu próprio teatro de ciência misteriosa 3000 tributo ao que quase certamente será considerado o pior - e único - filme matador deste site ou qualquer outro ano",-1
Não trabalhe em concerto,-1
"A direção tem uma autoridade fluida e sem sentido, e as performances de Harris, Phifer e Cam `Ron sela o acordo.",1
teria gostado mais se tivesse acabado de dar um passo adiante,1
"É muito duro para trabalhar como uma peça de narrativa,",-1
camisa havaiana,1
"Tome uma história clássica, lança atores atraentes e talentosos e usa uma paisagem magnífica para criar um longa -metragem que é perversamente divertido de assistir.",1
Forneça seus prazeres mais aguçados,1
totalmente muito leve para ser chamado de qualquer tipo de obra -prima,-1
"Grievous, mas",-1
"Depois de rir uma vez (talvez duas vezes), você terá esquecido completamente o filme quando voltar ao seu carro no estacionamento.",-1
sem esperança,-1
"despretensioso, charmoso, peculiar, original",1
Nicks e Steinberg combinam suas próprias criações para a pura venalidade - que está dando a antiga faculdade.,-1
muito bem escrito e muito bem atuado.,1
Não são muitas respostas conclusivas no filme,-1
"diálogo desajeitado, sentimento de sensação falsa de mão pesada,",-1
"prova uma ninharia adorável que, infelizmente, é um pouco apaixonada demais por sua própria fofura.",-1
traga tecidos.,1
O orçamento de meados a baixo do filme é traído pela maquiagem surpreendentemente de má qualidade.,-1
traz a convicção adequada ao seu papel como ( jason bourne ).,1
"como uma jovem de grande encanto, generosidade e diplomacia",1
"Existe algo comovente em um artista de mais de 90 anos se esforçando para compartilhar suas impressões de vida e perda, tempo e arte conosco.",1
Bobo demais,-1
bon bons cinematográficos,1
é extremamente sem graça e desinteressante assistir à meia-idade e,-1
Um exame animado e envolvente de como obsessões semelhantes podem dominar uma família.,1
irrita e,-1
colapso,-1
Muitos dos desafios que ele representa para si que se pode perdoar ao filme suas falhas,1
", Serve como uma cartilha viável para a história recente da região e seria uma fantástica ferramenta de aprendizado da 10ª série.",1
amplo o tempo todo,1
"(em vão, eu acho)",-1
é uma grande desculpa para interpretar uma cena lasciva após a outra.,-1
é eficaz se você ficar com isso,1
Isso ressalta a importância da tradição familiar e da comunidade familiar,1
"entrega o que promete: uma olhada no "" passeio selvagem "" que se segue quando jovens impetuosos decidem conquistar o mundo online com laptops, telefones celulares e planos de negócios esboçados",1
"Assistindo a esta comédia familiar e muito boa e muito boa, a suposta comédia familiar",-1
absolutamente e completamente ridículo e,-1
é um filme de rock and roll muito de bom gosto.,1
"O filme está quase completamente carente de suspense, surpresa e convicção emocional consistente.",-1
retrato realista,1
"Como se estivesse tentando pegar um pedaço de play-doh, mais difícil, Liman tenta espremer sua história",-1
Acrobacias bem pensadas ou,1
revela como nossos talentos especiais podem ser importantes quando colocados a serviço dos outros.,1
não gosto da,-1
um alívio bem -vindo,1
a promessa do cinema digital,1
apenas um que poderia facilmente esperar pelo seu pagamento por dólar,-1
justifique uma simulação teatral do campo de morte de Auschwitz II-Birkenau,-1
fé extraordinária,1
Eu vi um filme tão disposto a defender a falibilidade do coração humano,1
", às vezes bela adaptação",1
tão interessante,-1
"Caruso às vezes desce à fofura sub-garantante... mas, na maioria das vezes, garante que o Salton Sea funcione da maneira que um bom noir deveria, mantendo-o apertado e desagradável.",1
sobrecarregado e bombástico,-1
derivado e hammily,-1
"mais audacioso, ultrajante,",1
em seus melhores momentos,1
A Disney novamente sacode seus arquivos por uma sequência rápida.,-1
"aquela cena final, linda",1
"Alguns filmes sugam você apesar de suas falhas,",1
"come, intrometidos, argumenta, risos, kibbitzes e brigas",1
"O problema com o filme é se essas ambições, louváveis em si mesmas, justificam uma simulação teatral do campo de morte de Auschwitz II-Birkenau.",-1
", cativante",1
infecciosamente,1
"A imagem percorre apenas 84 minutos, mas não está olhando.",1
pense nesse cachorro de filme,-1
a notável procissão de imagens arrebatadoras que revigoraram o gênero romance.,1
aqueles filmes mais ou menos que poderiam ter sido muito melhores,-1
um filme de data aceitável,1
imax em resumo,1
Eu odeio isso.,-1
é agradável o suficiente - e escorrendo com homens atraentes,1
"Ninguém envolvido, Save Dash, mostra a menor aptidão para atuar",-1
neste filme descontroladamente desigual,-1
"Pokes, provas, recebe licença expressionista",1
"Como um dos videoclipes (Spears ') em conteúdo - exceto que continua por pelo menos 90 minutos e, pior, que você deve pagar se quiser vê -lo",-1
"com cor e profundidade, e um bom momento",1
"bobo, ultrajante, engenhoso",1
Ser capaz de bater em uma criança de 15 anos quando você está acima de 100,-1
"a história de problemas todos os dias... é tão superficial que equivale a pouco mais do que notas preliminares para um filme de terror de ficção científica , e o estilo narrativo fragmentário do filme torna frustrante juntar as peças da história.",-1
A melhor e mais imprevisível comédia do ano,1
começa tão ruim que você sente vontade de correr gritando,-1
homens de preto ii atinge a insignificância final - é o espetáculo de comédia de ficção científica como um épico de bola de sabão.,-1
Os fãs de Elvira mal conseguiam pedir mais.,1
uma boa,1
", fodendo a imagem",-1
"os dramas dos personagens, que nunca chegam a conclusões satisfatórias",-1
Perdido na tradução desta vez,-1
fale por isso enquanto força você a refletir novamente o que um filme pode ser,1
Permite shafer para navegar nos espaços grandes... e pequenos... com considerável apagão,1
Uma trama apareceu de momentos amplamente planos e não criativos,-1
fútil e horrível,-1
contado de maneira dispersa,-1
assume riscos que são ousados ​​pelos padrões do estúdio,1
"Acredite ou não, Jason realmente leva um banco traseiro em seu próprio filme para efeitos especiais",-1
"A única coisa a temer sobre "" medo dot com """,-1
toda a bagunça,-1
consegue infundir o caminho rochoso para a reconciliação de irmãos com flashes de calor e humor gentil,1
"Trabalhando em um script surpreendentemente sensível, co-escrito por Gianni Romoli... Ozpetek evita a maioria das armadilhas que você espera em uma configuração tão potencialmente subsy.",1
"Um currículo carregado de créditos como "" garota no bar # 3",-1
Aproveite o passeio,1
muito pouco a acrescentar além das visões sombrias já transmitidas por soberbos predecessores recentes,-1
"o ritmo, sim, parecido com um caracol",-1
um filme extremamente desagradável.,-1
"Se não é totalmente persuasivo, ele dá exposição a alguns artistas talentosos",1
"Todo o caso, história verdadeira ou não, parece incrivelmente hokey...",-1
são todas as coisas que vimos antes,-1
Poigno e fermentado,1
antecipação sem fôlego,1
significativamente melhor,1
tão previsível quanto as marés,-1
desconcertantemente brilhante e divertido,1
é suave e profissional,1
", despretensioso, subordinado",-1
o horror,-1
um filme tecnicamente excelente,1
A mudança positiva no tom aqui parece ter recarregado -o.,1
"Presta a homenagem sincera a Turntablists e venceu malabaristas, estudantes antigos e inovadores atuais",1
A Dim,-1
", cruel e absurdo",-1
Porque ele age tão pateta o tempo todo,-1
para uma vida cinética tão repleta que até adultos irritadiços podem redescobrir o garoto trêmulo dentro,1
"é ao mesmo tempo risível e compulsivamente assistível,",1
merece sua duração de 103 minutos,1
o valor e o respeito pelo termo cinema épico,1
Como a sala de espera de um dentista,-1
mostrando emoções honestas,1
Surpreendentemente coxo.,-1
Confissões podem não ser uma biografia direta,-1
Parece uma fatia decepcionantemente fina da vida de Londres de classe baixa;Apesar do título... equivale a surpreendentemente pouco,-1
A história é falsa e,-1
esta joia cômica é tão deliciosa quanto derivada.,1
para poupar a vida selvagem,1
Feio como a fotografia digital surrada,-1
entenda a diferença entre diversão idiota e simplesmente burro,-1
Tradicionalmente estruturado,1
Frida não é muito diferente de muitos romance de Hollywood.,-1
aponta o caminho para os aventureiros cineastas indianos para um crossover para mercados não étnicos.,1
"valem o preço da admissão... se "" Mayhem "" é a sua ideia de um bom momento",1
"foi produzido por Jerry Bruckheimer e dirigido por Joel Schumacher, e reflete o pior de seus estilos rasos: superproduzido superficial, inadequadamente motivado a cada passo do caminho e segmentado demograficamente para agradar a todos (e ninguém)",-1
carnificina e,-1
filmagem de câmera de vídeo degradada e portátil da bruxa de Blair,-1
segundo violino,-1
sobre a loucura da superficialidade que é,-1
Serve como crítica automática e sua falta de jeito como sua própria censura mais condenatória.,-1
oferta norueguesa tediosa que de alguma forma conseguiu uma indicação ao Oscar.,-1
", Esther Kahn é incomum, mas infelizmente também irritante.",-1
um exercício elegante,1
"No meio desta foto, eu estava começando a odiar",-1
uma configuração tão fácil que beira a facilidade,-1
um filme completamente horrível,-1
pega e agarra com força,1
"parecer manchado e embaçado, ao ponto de distração",-1
os desvios fascinantes da imagem,1
"Armas, artes marciais filmadas com brasa, desintegração de efeitos de computador de Bloodsucker e movimentos de câmera irregulares",-1
ritmos arejados e distraídos,-1
do que essa bagunça,-1
"fluxo evanescente, sem costura e suntuoso",1
Slick e fabricado para reivindicar credibilidade nas ruas.,1
"Cuidado é bem realizado por um quinteto de atrizes,",1
mensagens valiosas,1
em grande parte graças a Lau,1
dois caras que querem desesperadamente ser quentin tarantino quando crescerem,-1
Sem novas concepções de trama,-1
essencialmente uma coleção de bits -,-1
não é um bom presságio para o resto,-1
elevado por ele - o tipo de filme,1
pior usual,-1
"Hugh Grant, que tem uma boa linha em charme",1
chegar cedo e ficar tarde,1
"é um filme pan-americano, com momentos de verdadeira percepção do coração urbano.",1
Eu poderia ter usado minhas duas horas melhor assistindo ser John Malkovich novamente.,-1
"filmado em tons artísticos e aquosos de azul, verde e marrom",1
Uma história de crime organizada por pequenos filmes não ortodoxos que inclui um dos mais estranhos,1
desenvoltura considerável,1
Atuado por Diane Lane e Richard Gere.,1
escasso,-1
um filme reconhecidamente mediano,1
muito ridículo,-1
as habilidades de luta do rock estão mais de acordo com steven seagal,1
rico e cheio,1
