text,label
Ubuntu não se dá bem com o hardware desse notebook DELL inspiron ??,-1
hd do meu notebook da @dell estragou em um ano de uso. gg.,-1
Dá uma olhada nessa reclamação que eu fiz contra Dell Computadores do Brasil no @ReclameAQUI - ... http://www.reclameaqui.com.br/13299009/dell-computadores-do-brasil/notebook-nao-funciona-esta-na-garantia-e-a-dell-nao-resolve/ …,-1
"Quero comprar um notebook, só que um notebook muito bom, vou comprar aquele Dell de 3500 e foda-se",1
"Meu Notebook está uma lástima ,acho que o PELE elogiou a DELL",-1
Comprar memória pro notebook? Impossível! O jeito é reclamar da Dell no @ReclameAQUI: http://www.reclameaqui.com.br/14509101/dell-computadores-do-brasil/impossivel-adicionar-memoria-ao-notebook/ … @DellnoBrasil @Dell @Dellajuda,-1
Meu Deu que coisa linda esse Notebook da Dell. Já quero. http://www.theverge.com/2015/1/6/7501385/dell-xps-13-2015-edition-announced-at-ces-2015 …,1
Reclame Aqui - Dell Computadores do Brasil - NAO CARREGA MESMO COM O LED DA FONTE ACESO E VERDE http://fb.me/1WgtivmHa,-1
Queria saber quem foi o estagiário da dell que teve a ideia de por a saída de audio embaixo do notebook. Sim naquela parte q abafa no colo,-1
Estava pensando em comprar notebook da Lenovo (@Lenovobr) mas os da Dell (@DellnoBrasil) são incríveis principalmente a edição especial.,1
"Ahuahuahuahua, ainda prefiro pagar quase 3 mil reais, num notebook de ultima geração da Dell '-' na moral :3",1
Meu notebook ficou zoado desde que a dell instalou o negócio de reconhecer rosto. Que ódio!,-1
Comprei um notebook da Dell tem 5 meses. Já perdi umas 40 horas da minha vida pra tentar resolver um problema com eles.,-1
"tem dois dell inspiron que são os que n são bosta, mas o resto tem tipo 1 hp muito lixo e dois positivo",1
"Eu me lembro de ter visto um Dell pra ela, na época. Dell é tão amor, quando for comprar meu note vou querer um com certeza",1
"A Dell enlouqueceu! Quer me cobrar R$ 1.603,29 só pra trocar a tela de um note que paguei R$ 2.300! Choro ou do risada?",-1
Para de me mandar carta dell não vou comprar outro notebook Para Serio Para  Link permanente da imagem incorporada,-1
"@DellnoBrasil Dell desrespeita consumidor, Conclusão: compro o note direto da Dell e mesmo depois da garantia sou obrigado a manter sua +",-1
"Comprei um notebook fudido da Dell, paguei a vista e me deram prazo de até 20 dias para entrega.",-1
Nunca comprem notebook na loja http://ln.is/www.dell.com.br/HrryC …,-1
"Eu deveria ter comprado um notebook Hp, mas fiz a besteira de comprar um Dell.",-1
"Ai vc faz os testes da dell, da erro, vc atualiza os drives, reinicia, e o note da tela azul e nao inicia :) i like it",-1
Aquele momento que seu notebook e voltou quebrado da assistência. Obrigada Dell por mais essa surpresa  Link permanente da imagem incorporada,-1
"Meu note dá dando umas travada monstruosa. Mas não consigo atualizar os hardwares pelo site da dell, sos",-1
Finalmente comprei um novo notebook. DELL I7 ❤ SEGUNDA-FEIRA ELE VAI SER MEU!  Muahahaahaja 0 retweet 1 curtiu Responder   Retweetar    Curtir  1,1
pelo amor e Deus! como a Dell faz note tão ruim. sos ! MAC,-1
"@noranblt A letra é feia, mas, pelo menos tem o notebook da Dell",1
Nunca + vou comprar notebook da #Dell novamente.,-1
Tô há quatro meses com o notebook da Dell e os graves do som já estão fodidos.....................,-1
"Eu achava que a @Dell era boa, até HD de 1TB do meu Inspiron 14 morrer de vez... E agora, será que eu compro um Acer como meu próximo note??",-1
Preciso de um notebook da Dell nao aguento mais essa porra da samsung,1
@ProconRJ @ReclameAQUI Estou com um chamado aberto na @DEL desde de fevereiro e aguardando terceira visita há 8 dias.Etiqueta @DELL FKG8G22.,-1
"Comprei um notebook da Dell. Rapaz, se arrependimento matasse, eu tava já em decomposição. Pqp. Que novela.",-1
Quem lembra daquele Dell Adamo XPS? Era um notebook com só 9 mm de espessura. Era meio bizarro mas achava lindo,1
"Nada como entrar no site da Dell, cair de amores por um notebook e descobrir que ele custa quase 4 mil. Argh.",-1
ALERTA! Não comprem no Site da Dell! Comprei meu note 500 Gb no site Dell e achei no Site EXTRA mais barato e com 1T  Link permanente da imagem incorporada,-1
Resoluções para a vida: nunca comprar notebook Dell ou celular Samsung.,-1
cegonha trouxe meu bebê ou seje a dell entregou meu notebook novo estou chorano,1
Reclame Aqui - Dell Computadores do Brasil - Item faltante - Compra realizada em 09/02/2015 e... http://fb.me/3JdGst0jN,-1
A Dell me coloca 16gb de RAM e uma HD de apenas 5400rpm. Aí essa m* de note parece que é valvulado. Preciso comprar uma SSD urgente,-1
Sem falar que o notebook da Dell é maravilhoso. Parabéns você que dá 5 mil em um só por causa de uma maçã.,1
"Pelo menos vou vender finalmente meu note Dell, não quero nem cheiro dessa marca perto de mim nunca mais",-1
Atualizar o notebook e ele travar de vez. Só comigo ? #dell #Windows8 #help,-1
Por que note da dell e tão ruim?,-1
Sem notebook de novo... Parece brincadeira de mau gosto. #dell,-1
E eu que sempre recomendei a Dell. #QueDecepção http://www.reclameaqui.com.br/14610673/dell-computadores-do-brasil/brincando-de-lego/ …,-1
"Você acha que a @Dell tem notebooks com uma qualidade superior, você está enganado. #dell #dellLIXO #NÃOCOMPREDELL http://www.reclameaqui.com.br/14295761/dell-computadores-do-brasil/notebook-dell-qualidade-ruim/ …",-1
"@Dann_Cardoso o foda é que o ultrabook que eu vi da Dell aqui, que vale a pena comprar, custa o DOBRO de um notebook top de linha =(",-1
Essa Dell é demais... Note chegoooou ?,1
"Dei o note acer p pai, e fiquei com o da dell, bemm melhor kkkk",1
"Atendimento porco! Não recomendo a @Dell pra ninguém mais! Decepcionado! Precisando urgente do meu note, comprometendo meu trabalho...putz",-1
